,id,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,City,Location,scheduled_service,local_code
0,3632,large_airport,Los Angeles International Airport,33.94250107,-118.40799709999999,125.0,US,Los Angeles,CALIFORNIA,1,LAX
1,3622,large_airport,John F Kennedy International Airport,40.63980103,-73.77890015,13.0,US,New York,NEW YORK,1,JFK
2,3754,large_airport,Chicago O'Hare International Airport,41.97859955,-87.90480042,672.0,US,Chicago,ILLINOIS,1,ORD
3,3384,large_airport,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,1026.0,US,Atlanta,GEORGIA,1,ATL
4,3878,large_airport,San Francisco International Airport,37.61899948,-122.375,13.0,US,San Francisco,CALIFORNIA,1,SFO
5,3521,large_airport,Newark Liberty International Airport,40.69250107,-74.16870117,18.0,US,Newark,DELAWARE,1,EWR
6,3631,large_airport,McCarran International Airport,36.08010101,-115.15200039999999,2181.0,US,Las Vegas,NEVADA,1,LAS
8,3670,large_airport,Orlando International Airport,28.42939949,-81.30899811,96.0,US,Orlando,FLORIDA,1,MCO
9,3486,large_airport,Denver International Airport,39.86169815,-104.6729965,5431.0,US,Denver,COLORADO,1,DEN
10,3685,large_airport,Miami International Airport,25.79319954,-80.29060364,8.0,US,Miami,FLORIDA,1,MIA
11,3643,large_airport,La Guardia Airport,40.77719879,-73.87259674,21.0,US,New York,NEW YORK,1,LGA
12,3602,large_airport,Washington Dulles International Airport,38.94449997,-77.45580292,312.0,US,Washington,DISTRICT OF COLUMBIA,1,IAD
13,3875,large_airport,Seattle Tacoma International Airport,47.44900131,-122.3089981,433.0,US,Seattle,WASHINGTON,1,SEA
14,3772,large_airport,Phoenix Sky Harbor International Airport,33.43429947,-112.012001,1135.0,US,Phoenix,ARIZONA,1,PHX
15,3422,large_airport,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,20.0,US,Boston,MASSACHUSETTS,1,BOS
16,3771,large_airport,Philadelphia International Airport,39.87189865,-75.2410965,36.0,US,Philadelphia,PENNSYLVANIA,1,PHL
17,3604,large_airport,George Bush Intercontinental Houston Airport,29.984399800000002,-95.34140015,97.0,US,Houston,TEXAS,1,IAH
18,3457,large_airport,Charlotte Douglas International Airport,35.21400070000001,-80.94309998,748.0,US,Charlotte,MICHIGAN,1,CLT
19,3483,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,15.0,US,Washington,DISTRICT OF COLUMBIA,1,DCA
20,3497,large_airport,Detroit Metropolitan Wayne County Airport,42.21239853,-83.35340118,645.0,US,Detroit,MICHIGAN,1,DTW
21,3709,large_airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.88199997,-93.22180176,841.0,US,Minneapolis,MINNESOTA,1,MSP
22,3862,large_airport,San Diego International Airport,32.73360062,-117.1900024,17.0,US,San Diego,CALIFORNIA,1,SAN
23,3531,large_airport,Fort Lauderdale Hollywood International Airport,26.07259941,-80.15270233,9.0,US,Fort Lauderdale,FLORIDA,1,FLL
24,3887,large_airport,Salt Lake City International Airport,40.78839874,-111.97799679999999,4227.0,US,Salt Lake City,UTAH,1,SLC
25,3905,large_airport,St Louis Lambert International Airport,38.748697,-90.370003,618.0,US,St Louis,MISSOURI,1,STL
26,3673,large_airport,Chicago Midway International Airport,41.78599929999999,-87.75240326,620.0,US,Chicago,ILLINOIS,1,MDW
27,5453,large_airport,Daniel K Inouye International Airport,21.32062,-157.924228,13.0,US,Honolulu,HAWAII,1,HNL
28,3435,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.17539978,-76.66829681,146.0,US,Baltimore,MARYLAND,1,BWI
29,3768,large_airport,Portland International Airport,45.58869934,-122.59799960000001,31.0,US,Portland,OREGON,1,PDX
30,3926,large_airport,Tampa International Airport,27.97550011,-82.53320313,26.0,US,Tampa,FLORIDA,1,TPA
31,3471,large_airport,Cincinnati Northern Kentucky International Airport,39.04880142,-84.6678009,896.0,US,Cincinnati,OHIO,1,CVG
32,3711,large_airport,Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,4.0,US,New Orleans,LOUISIANA,1,MSY
33,3744,large_airport,Metropolitan Oakland International Airport,37.721298,-122.221001,9.0,US,Oakland,CALIFORNIA,1,OAK
34,3778,large_airport,Pittsburgh International Airport,40.49150085,-80.23290253,1203.0,US,Pittsburgh,PENNSYLVANIA,1,PIT
35,3386,large_airport,Austin Bergstrom International Airport,30.19449997,-97.66989899,542.0,US,Austin,TEXAS,1,AUS
36,3883,large_airport,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,62.0,US,San Jose,CALIFORNIA,1,SJC
38,3420,large_airport,Nashville International Airport,36.12450027,-86.67819977,599.0,US,Nashville,TENNESSEE,1,BNA
39,3675,large_airport,Memphis International Airport,35.04240036,-89.97669983,341.0,US,Memphis,TENNESSEE,1,MEM
40,3863,large_airport,San Antonio International Airport,29.53370094,-98.46980286,809.0,US,San Antonio,TEXAS,1,SAT
41,3894,large_airport,John Wayne Airport-Orange County Airport,33.67570114,-117.86799620000001,56.0,US,Santa Ana,CALIFORNIA,1,SNA
42,3668,large_airport,Kansas City International Airport,39.2976,-94.713898,1026.0,US,Kansas City,MISSOURI,1,MCI
43,3588,large_airport,William P Hobby Airport,29.64539909,-95.27890015,46.0,US,Houston,TEXAS,1,HOU
44,3454,large_airport,Cleveland Hopkins International Airport,41.4117012,-81.84980011,791.0,US,Cleveland,OHIO,1,CLE
45,3610,large_airport,Indianapolis International Airport,39.7173,-86.294403,797.0,US,Indianapolis,INDIANA,1,IND
46,3479,large_airport,Dallas Love Field,32.847099,-96.851799,487.0,US,Dallas,TEXAS,1,DAL
47,16091,large_airport,Albuquerque International Sunport Airport,35.040199,-106.609001,5355.0,US,Albuquerque,NEW MEXICO,1,ABQ
48,3690,large_airport,General Mitchell International Airport,42.94720078,-87.89659882,723.0,US,Milwaukee,WISCONSIN,1,MKE
49,3458,large_airport,Port Columbus International Airport,39.9980011,-82.89189911,815.0,US,Columbus,INDIANA,1,CMH
50,3932,large_airport,Tucson International Airport,32.11610031,-110.9410019,2643.0,US,Tucson,ARIZONA,1,TUS
51,3431,large_airport,Buffalo Niagara International Airport,42.94049835,-78.73220062,728.0,US,Buffalo,NEW YORK,1,BUF
52,5388,large_airport,Ted Stevens Anchorage International Airport,61.17440033,-149.9960022,152.0,US,Anchorage,ALASKA,1,ANC
53,3620,large_airport,Jacksonville International Airport,30.49410057,-81.68789673,30.0,US,Jacksonville,FLORIDA,1,JAX
54,3396,large_airport,Bradley International Airport,41.93889999,-72.68319702,173.0,US,Hartford,TENNESSEE,1,BDL
55,3766,large_airport,Palm Beach International Airport,26.68320084,-80.09559631,19.0,US,West Palm Beach,FLORIDA,1,PBI
56,3512,medium_airport,El Paso International Airport,31.80719948,-106.37799840000002,3959.0,US,El Paso,TEXAS,1,ELP
57,3747,large_airport,Will Rogers World Airport,35.39310074,-97.60070038,1295.0,US,Oklahoma City,OKLAHOMA,1,OKC
58,5455,medium_airport,Kahului Airport,20.8986,-156.429993,54.0,US,Kahului,HAWAII,1,OGG
59,3892,large_airport,Sacramento International Airport,38.69540024,-121.5910034,27.0,US,Sacramento,CALIFORNIA,1,SMF
60,3755,large_airport,Norfolk International Airport,36.89459991,-76.20120239,26.0,US,Norfolk,NEBRASKA,1,ORF
61,3853,large_airport,Reno Tahoe International Airport,39.49909973,-119.7679977,4415.0,US,Reno,NEVADA,1,RNO
62,3432,medium_airport,Bob Hope Airport,34.20069885,-118.35900120000001,778.0,US,Burbank,CALIFORNIA,1,BUR
63,3644,medium_airport,Long Beach /Daugherty Field/ Airport,33.81769943,-118.15200039999999,60.0,US,Long Beach,WASHINGTON,1,LGB
64,3795,medium_airport,Theodore Francis Green State Airport,41.73260117,-71.42040253,55.0,US,Providence,RHODE ISLAND,1,PVD
65,3757,medium_airport,Wittman Regional Airport,43.98440170000001,-88.55699921,808.0,US,Oshkosh,WISCONSIN,0,OSH
66,3751,medium_airport,Eppley Airfield,41.30319977,-95.89409637,984.0,US,Omaha,NEBRASKA,1,OMA
67,3873,large_airport,Louisville International Standiford Field,38.1744,-85.736,501.0,US,Louisville,KENTUCKY,1,SDF
68,3752,large_airport,Ontario International Airport,34.05599976,-117.60099790000001,944.0,US,Ontario,CALIFORNIA,1,ONT
69,3913,large_airport,Syracuse Hancock International Airport,43.11119843,-76.10630035,421.0,US,Syracuse,NEW YORK,1,SYR
70,3589,medium_airport,Westchester County Airport,41.06700134,-73.70760345,439.0,US,White Plains,NEW YORK,1,HPN
71,3371,medium_airport,Albany International Airport,42.74829865,-73.80169678,285.0,US,Albany,NEW YORK,1,ALB
72,3450,large_airport,Charleston Air Force Base-International Airport,32.89860153,-80.04049683,46.0,US,Charleston,SOUTH CAROLINA,1,CHS
73,3406,large_airport,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,650.0,US,Birmingham,ALABAMA,1,BHM
74,3847,large_airport,Richmond International Airport,37.50519943,-77.31970215,167.0,US,Richmond,VIRGINIA,1,RIC
75,3855,large_airport,Greater Rochester International Airport,43.1189003,-77.67240143,559.0,US,Rochester,MINNESOTA,1,ROC
76,3864,large_airport,Savannah Hilton Head International Airport,32.12760162,-81.20210266,50.0,US,Savannah,GEORGIA,1,SAV
77,3481,large_airport,James M Cox Dayton International Airport,39.90240097,-84.2193985,1009.0,US,Dayton,OREGON,1,DAY
78,3552,large_airport,Spokane International Airport,47.61989975,-117.5339966,2376.0,US,Spokane,WASHINGTON,1,GEG
79,3421,large_airport,Boise Air Terminal/Gowen field,43.56439972,-116.22299960000001,2871.0,US,Boise,IDAHO,1,BOI
80,3684,large_airport,Manchester Airport,42.93259811,-71.43569946,266.0,US,Manchester,CONNECTICUT,1,MHT
81,3858,large_airport,Southwest Florida International Airport,26.53619957,-81.75520325,30.0,US,Fort Myers,FLORIDA,1,RSW
82,3796,large_airport,Portland International Jetport Airport,43.64619827,-70.30930328,76.0,US,Portland,OREGON,1,PWM
83,3866,medium_airport,Santa Barbara Municipal Airport,34.42620087,-119.8399963,13.0,US,Santa Barbara,CALIFORNIA,1,SBA
84,3605,large_airport,Wichita Mid Continent Airport,37.64989853,-97.43309784,1333.0,US,Wichita,KANSAS,1,ICT
85,3401,large_airport,Boeing Field King County International Airport,47.52999878,-122.302002,21.0,US,Seattle,WASHINGTON,1,BFI
86,3792,medium_airport,Palm Springs International Airport,33.82970047,-116.50700379999999,477.0,US,Palm Springs,CALIFORNIA,1,PSP
87,3707,large_airport,Dane County Regional Truax Field,43.13990021,-89.33750153,887.0,US,Madison,WISCONSIN,1,MSN
88,3566,medium_airport,Gerald R. Ford International Airport,42.88079834,-85.52279663,794.0,US,Grand Rapids,MICHIGAN,1,GRR
89,3496,large_airport,Des Moines International Airport,41.5340004,-93.6631012,958.0,US,Des Moines,WASHINGTON,1,DSM
90,3463,large_airport,City of Colorado Springs Municipal Airport,38.80580139,-104.70099640000001,6187.0,US,Colorado Springs,COLORADO,1,COS
91,3430,medium_airport,Burlington International Airport,44.47190094,-73.15329742,335.0,US,Burlington,WISCONSIN,1,BTV
92,21321,medium_airport,North Las Vegas Airport,36.21070099,-115.1940002,2205.0,US,Las Vegas,NEVADA,0,VGT
93,3645,large_airport,Bill & Hillary Clinton National Airport/Adams Field,34.72940063,-92.22429657,262.0,US,Little Rock,ARKANSAS,1,LIT
94,3568,large_airport,Piedmont Triad International Airport,36.09780121,-79.93730164,925.0,US,Greensboro,NORTH CAROLINA,1,GSO
95,3930,large_airport,Tulsa International Airport,36.19839859,-95.88809967,677.0,US,Tulsa,OKLAHOMA,1,TUL
96,3705,medium_airport,Monterey Peninsula Airport,36.587001799999996,-121.84300230000001,257.0,US,Monterey,CALIFORNIA,1,MRY
98,21087,small_airport,Santa Monica Municipal Airport,34.01580048,-118.45099640000001,177.0,US,Santa Monica,CALIFORNIA,0,SMO
99,3783,medium_airport,Pensacola Regional Airport,30.47340012,-87.18659973,121.0,US,Pensacola,FLORIDA,1,PNS
101,21333,medium_airport,Van Nuys Airport,34.20980072,-118.4899979,802.0,US,Van Nuys,CALIFORNIA,0,VNY
102,3838,medium_airport,Rapid City Regional Airport,44.04529953,-103.0569992,3204.0,US,Rapid City,SOUTH DAKOTA,1,RAP
103,3938,large_airport,McGhee Tyson Airport,35.81100082,-83.99400329999999,981.0,US,Knoxville,TENNESSEE,1,TYS
104,3924,large_airport,Tallahassee Regional Airport,30.39649963,-84.35030365,81.0,US,Tallahassee,FLORIDA,1,TLH
105,3524,medium_airport,Fresno Yosemite International Airport,36.77619934,-119.71800230000001,336.0,US,Fresno,CALIFORNIA,1,FAT
107,3522,medium_airport,Key West International Airport,24.55610085,-81.75959778,3.0,US,Key West,FLORIDA,1,EYW
108,3723,medium_airport,Lakefront Airport,30.04240036,-90.02829742,8.0,US,New Orleans,LOUISIANA,0,NEW
109,3405,large_airport,Bangor International Airport,44.80739975,-68.82810211,192.0,US,Bangor,MAINE,1,BGR
110,3569,large_airport,Greenville Spartanburg International Airport,34.89569855,-82.21890259,964.0,US,Greenville,SOUTH CAROLINA,1,GSP
111,3640,large_airport,Blue Grass Airport,38.03649902,-84.60590363,979.0,US,Lexington,KENTUCKY,1,LEX
112,3478,large_airport,Daytona Beach International Airport,29.179899,-81.058098,34.0,US,Daytona Beach,FLORIDA,1,DAB
113,21033,medium_airport,Santa Fe Municipal Airport,35.61709976,-106.0889969,6348.0,US,Santa Fe,NEW MEXICO,0,SAF
114,3416,medium_airport,Bellingham International Airport,48.792800899999996,-122.538002,170.0,US,Bellingham,WASHINGTON,1,BLI
115,20589,small_airport,Montgomery Field,32.81570053,-117.1399994,427.0,US,San Diego,CALIFORNIA,0,MYF
116,3633,large_airport,Lubbock Preston Smith International Airport,33.663601,-101.822998,3282.0,US,Lubbock,TEXAS,1,LBB
117,19291,medium_airport,Centennial Airport,39.57009888,-104.84899899999999,5885.0,US,Denver,COLORADO,0,APA
119,3767,medium_airport,DeKalb Peachtree Airport,33.87559891,-84.30200195,1003.0,US,Atlanta,GEORGIA,0,PDK
