,FuelCode,StationName,Address,City,State_ABRR,Location,ZIP,Latitude,Longitude
0,LPG,Irish Propane,70 Katherine St,Buffalo,NY,NEW YORK,14210,42.8594,-78.858933
1,ELEC,Latitudes,2401 Highway 528,Rio Rancho,NM,NEW MEXICO,87124,35.21843,-106.663
2,ELEC,American Bush - Solar Canopy,2630 S 300 W,Salt Lake City,UT,UTAH,84115,40.714419899999996,-111.90010500000001
3,ELEC,McDonald's #31850 - Flower Mound TX,3601 FM 407,Flower Mound,TX,TEXAS,75028,33.071809,-97.08511899999999
4,ELEC,CITY OF SEATTLE,600 Pine St,Seattle,WA,WASHINGTON,98101,47.6125141,-122.3354092
5,ELEC,Two Embarcadero Center,"Two Embarcadero Center, A Level Parking",San Franciso,CA,CALIFORNIA,94111,37.79502720000001,-122.39850030000001
6,ELEC,PARKWAY,721 Arch St,Philadelphia,PA,PENNSYLVANIA,19106,39.9528732,-75.1528625
7,ELEC,General Electric - Dallas Office,2508 Highlander Way,Carrollton,TX,TEXAS,75006,32.9838,-96.84531700000001
8,ELEC,Municipal Lot,38767 SE River St,Snoqualmie,WA,WASHINGTON,98065,47.527427,-121.823532
9,LPG,U-Haul,15173 Brookpark Rd,Brook Park,OH,OHIO,44142,41.418059,-81.802714
10,ELEC,GATEWAY TECH B,380 McCanna Pkwy,Burlington,WI,WISCONSIN,53105,42.672790500000005,-88.2556
11,ELEC,NATIONAL GRID,104-160 Blackstone St,Providence,RI,RHODE ISLAND,2905,41.8096008,-71.40885290000001
12,ELEC,San Francisco General Hospital Garage,2500 24th St,San Francisco,CA,CALIFORNIA,94110,37.753135,-122.404374
13,ELEC,Amazon - Obidos/Rufus,550 Terry Ave N,Seattle,WA,WASHINGTON,98109,47.62395,-122.337078
14,ELEC,Classic Cars Nissan,1513 Route 38,Hainesport,NJ,NEW JERSEY,8036,39.98225,-74.808612
15,LPG,U-Haul,2722 N Watkins,Memphis,TN,TENNESSEE,38127,35.199728,-90.007121
16,ELEC,"Walgreens - Clinton, UT #2519",1962 W 1800 N,Clinton,UT,UTAH,84041,41.139868799999995,-112.0632572
17,ELEC,MERCER ISLAND,8236 SE 24TH STREET,Mercer Island,WA,WASHINGTON,98040,47.5900154,-122.22854609999999
18,ELEC,NATIONAL GRID,997 Loudon Rd,Cohoes,NY,NEW YORK,12047,42.770945000000005,-73.753012
19,ELEC,AUTO CLUB GROUP,783 S Orlando Ave,Winter Park,FL,FLORIDA,32789,28.5909042,-81.3660965
20,CNG,Greater Richmond Transit Co,301 E Belt Blvd,Richmond,VA,VIRGINIA,23224,37.506731,-77.47908000000001
21,ELEC,Ehrlich Nissan,2625 35th Ave,Greeley,CO,COLORADO,80634,40.3944828,-104.736046
22,ELEC,Outpost Solar - Mines Road,1905 Mines Road,Pulaski,TN,TENNESSEE,38478,35.210144,-87.054365
23,CNG,SDG&E - Northern (Carlsbad),602 Cannon Rd,Carlsbad,CA,CALIFORNIA,92008,33.1336848,-117.33212320000001
24,ELEC,CITYZEPHYRHILLS,5335 Eighth St,Zephyrhills,FL,FLORIDA,33542,28.2352886,-82.1812439
25,ELEC,Atlantic Nissan,205 Sunrise Hwy,West Islip,NY,NEW YORK,11795,40.720647,-73.304128
26,LPG,U-Haul,157 E 3rd St,Williamsport,PA,PENNSYLVANIA,17701,41.242703000000006,-76.998402
27,ELEC,Dan Wilder Nissan,97 Deer Park Rd,Port Angeles,WA,WASHINGTON,98362,48.102884,-123.342597
28,LPG,Sierra Propane,447 E Main St,Springerville,AZ,ARIZONA,85938,34.1328336,-109.28092649999999
29,ELEC,Port of San Diego-Imperial Beach Parking Lot,"3165 Pacific Highway, Palm Avenue & Seacoast Drive",Imperial Beach,CA,CALIFORNIA,91932,32.5839,-117.13171799999999
30,ELEC,Kroger Store #518,5665 E. Mockingbird,Dallas,TX,TEXAS,75206,32.837337,-96.77053599999999
31,ELEC,15 LLC,"3575 Piedmont Road, Building 15",Atlanta,GA,GEORGIA,30305,33.852522,-84.380658
32,ELEC,Wayne State University - Parking Structure #4,555 E Canfield,Detroit,MI,MICHIGAN,48202,42.3559279,-83.05520600000001
33,ELEC,Waikiki Sand Villa,2375 Ala Wai Blvd,Honolulu,HI,HAWAII,96815,21.278842,-157.823158
34,ELEC,LUNDS FOODS,7201-7223 County Rd 17,Edina,MN,MINNESOTA,55435,44.872598499999995,-93.32789190000001
35,LPG,Flying J,I-10 Exit 1 Frontage Rd N,Ehrenberg,AZ,ARIZONA,85334,33.60168,-114.523067
36,ELEC,Loyola University - New Orleans,7214 Saint Charles Ave,New Orleans,LA,LOUISIANA,70118,29.937189899999996,-90.1268944
37,CNG,Con Edison - College Point Service Center,124-15 31st Ave,Queens,NY,NEW YORK,11354,40.7678,-73.845925
38,ELEC,RENAISSANCE TWR,1201 Pacific Ave,Dallas,TX,TEXAS,75223,32.7819816,-96.8019686
39,ELEC,Piolax,139 Etowah Industrial Court,Canton,GA,GEORGIA,30114,34.2455859,-84.471847
40,ELEC,Court Street Ford,558 William Latham Sr Dr,Bourbonnais,IL,ILLINOIS,60914,41.161794,-87.885165
41,CNG,Xcel Energy,1901 E Horsetooth Rd,Fort Collins,CO,COLORADO,80525,40.536651,-105.042277
42,ELEC,Roush - Naples,3538 Plover Ave,Naples,FL,FLORIDA,34117,26.15823,-81.674971
43,LPG,U-Haul,75 Division St,Danbury,CT,CONNECTICUT,6810,41.391202,-73.45841800000001
44,ELEC,Brown & Howell LLC Sunbrite Corner,1590 E Bethany Home Road,Phoenix,AZ,ARIZONA,85014,33.523943100000004,-112.04788980000001
45,ELEC,KCP&L,301 NE Rice Rd @ HyVee,Lee's Summit,MO,MISSOURI,64086,38.9190971,-94.3606061
46,ELEC,Ken Ganley Nissan,5180 Montville Dr,Medina,OH,OHIO,44256,41.134257,-81.793779
47,ELEC,KIRKLAND,348 Kirkland Ave,Kirkland,WA,WASHINGTON,98033,47.6757469,-122.20297240000002
48,LPG,Blossman Gas Inc,102 Mississippi Dr,Waynesboro,MS,MISSISSIPPI,39367,31.663926399999998,-88.6283224
49,LPG,Ferrellgas,310 Morrow Rd,Sand Springs,OK,OKLAHOMA,74063,36.133604600000005,-96.11798909999999
50,ELEC,Honda Motorwerks,500 4th St,LaCrosse,WI,WISCONSIN,54601,43.808262,-91.252255
51,LPG,Ron's Car Care & Propane Services,1241 E Central Ave,Miamisburg,OH,OHIO,45342,39.6403804,-84.2657791
