,Unique ID,FacilityName,Rank_TRI_14,Rank_GHG_14,Latitude,Longitude,LocationAddress,City,Location,ZIP,County,FIPScode,IndustryType,GHG_Direct_Emissions_14_in_metric_tons,GHG_Direct_Emissions_13_in_metric_tons,GHG_Direct_Emissions_12_in_metric_tons,GHG_Direct_Emissions_11_in_metric_tons,GHG_Direct_Emissions_10_in_metric_tons
0,1.10E+11,TRIDENT SEAFOODS CORP AKUTAN SHORE PLANT,5513.0,3888.0,54.132189000000004,-165.786894,1 SALMON LN,AKUTAN,ALASKA,99553,ALEUTIANS EAST,2013.0,Other,52025,52319,50748,43930,36933
7,1.10E+11,GOLDEN VALLEY ELECTRIC POWER PLANT,6340.0,1306.0,63.8549,-148.9496,25 HEALY SPUR RD,HEALY,ALASKA,99743,DENALI,2068.0,Power Plants,297142,306774,345565,282535,278618
8,1.10E+11,USAF CLEAR AFS,12980.0,2692.0,64.29175699999999,-149.183476,200 A ST,CLEAR,ALASKA,997045360,DENALI,2068.0,Power Plants,89430,89909,86702,85955,89993
9,99703DYNTL3564N,DOYON UTILITIES FT WAINWRIGHT AK,2117.0,1143.0,64.82773,-147.633848,1060 GAFFNEY RD,FORT WAINWRIGHT,ALASKA,99703,FAIRBANKS NORTH STAR,2090.0,Power Plants,380483,427745,471081,445983,373471
10,1.10E+11,FLINT HILLS RESOURCES ALASKA LLC,3552.0,3430.0,64.737264,-147.34843999999998,1100 H & H LN,NORTH POLE,ALASKA,997057879,FAIRBANKS NORTH STAR,2090.0,Refineries,62695,155973,185612,219424,233686
11,1.10E+11,USAF - EIELSON AFB,6464.0,1225.0,64.67145,-147.0492,2310 CENTRAL AVE,EIELSON AFB,ALASKA,997022299,FAIRBANKS NORTH STAR,2090.0,Other,345178,341930,363907,360981,330665
13,1.10E+11,NORTH POLE POWER PLANT,11014.0,1642.0,64.735968,-147.348622,1150 H & H LN,NORTH POLE,ALASKA,99705,FAIRBANKS NORTH STAR,2090.0,Power Plants,195205,226849,369997,297118,330233
17,1.10E+11,TESORO ALASKA KENAI REFINERY,1881.0,919.0,60.683603000000005,-151.36720400000002,54741 TESORD RD,KENAI,ALASKA,99611,KENAI PENINSULA,2122.0,"Chemicals,Refineries",577214,590569,541364,549800,447736
53,1.10E+11,RED DOG OPERATIONS,746.0,1929.0,68.064136,-162.848883,90 MILES N OF KOTZEBUE,KOTZEBUE,ALASKA,99752,NORTHWEST ARCTIC,2188.0,Other,149762,152985,145643,138390,146813
57,1.10E+11,INTERNATIONAL PAPER,28.0,1077.0,32.418731,-86.471209,100 JENSEN RD,PRATTVILLE,ALABAMA,36067,AUTAUGA,1001.0,"Pulp and Paper,Waste",423415,434842,429426,435389,335457
62,1.10E+11,CARBO CERAMICS INC-EUFAULA FACILITY,1052.0,3835.0,31.876967999999998,-85.156059,36 ARCH DR,EUFAULA,ALABAMA,36027,BARBOUR,1005.0,Other,53155,57624,53750,56182,55187
64,1.10E+11,US ARMY ANNISTON ARMY DEPOT,3097.0,7013.0,33.65943,-85.96943,7 FRANKFORD AVE DRK (BUILDING 199),ANNISTON,ALABAMA,362014199,CALHOUN,1015.0,Other,1707,27444,24637,27337,33052
65,1.10E+11,SOLUTIA INC ANNISTON PLANT,4018.0,5886.0,33.650208,-85.851562,702 CLYDESDALE AVE,ANNISTON,ALABAMA,36201,CALHOUN,1015.0,Chemicals,24974,28998,31289,40554,32151
67,1.10E+11,KNAUF INSULATION PLANT 2,968.0,4602.0,32.836519,-85.215733,3502 43RD ST SW,LANETT,ALABAMA,36863,CHAMBERS,1017.0,Minerals,39623,6465,0,22575,47479
69,1.10E+11,GEORGIA-PACIFIC CONSUMER PRODUCTS LP,80.0,856.0,32.22865,-88.023933,7530 HIGHWAY 114,PENNINGTON,ALABAMA,36916,CHOCTAW,1023.0,"Pulp and Paper,Waste",645106,541277,571738,610476,520581
70,1.10E+11,BOISE WHITE PAPER MILL,257.0,1721.0,31.492253,-87.89880500000001,4585 INDUSTRIAL RD,JACKSON,ALABAMA,365453416,CLARKE,1025.0,"Pulp and Paper,Suppliers of CO2,Waste",177558,188794,204030,191793,178321
72,1.10E+11,US TVA COLBERT FOSSIL PLANT,132.0,191.0,34.743258000000004,-87.848838,900 COLBERT STEAM PLANT RD,TUSCUMBIA,ALABAMA,35674,COLBERT,1033.0,Power Plants,3593511,3366890,3395002,4745824,5984412
73,1.10E+11,CHEROKEE NITROGEN LLC,812.0,1072.0,34.797979999999995,-87.939734,1080 INDUSTRIAL DR,CHEROKEE,ALABAMA,35616,COLBERT,1033.0,"Chemicals,Suppliers of CO2",428799,309966,371037,439301,411709
74,1.10E+11,WISE ALLOYS LLC - ALLOYS PLANT,1195.0,1645.0,34.773144,-87.594749,4805 2ND ST,MUSCLE SHOALS,ALABAMA,35661,COLBERT,1033.0,Metals,194498,195664,180250,183680,169369
75,1.10E+11,WISE ALLOYS LLC-ALABAMA RECLAM ATION PLANT,1717.0,2393.0,34.769102000000004,-87.59666999999999,1009 FORD RD,MUSCLE SHOALS,ALABAMA,356611119,COLBERT,1033.0,Metals,105803,110617,103051,99120,90035
76,1.10E+11,SCA TISSUE NA BARTON OPERATIONS,4489.0,3220.0,34.75942,-87.89004,1834 HALEY DR,CHEROKEE,ALABAMA,35616,COLBERT,1033.0,Pulp and Paper,69716,68742,65571,64123,64743
79,1.10E+11,AMERICAN PROTEINS INCORPORATED HANCEVILLE DIVISION,5742.0,2812.0,33.956949,-86.809218,1170 COUNTY RD 508,HANCEVILLE,ALABAMA,35077,CULLMAN,1043.0,Other,83681,82955,79027,74581,77550
81,1.10E+11,INTERNATIONAL PAPER - RIVERDALE MILL,203.0,1249.0,32.42522,-86.87158199999999,601 COUNTY RD 78,SELMA,ALABAMA,36703,DALLAS,1047.0,"Pulp and Paper,Waste",331994,341449,396277,322754,269718
82,1.10E+11,GLOBE METALLURGICAL,851.0,1595.0,32.379512,-86.992948,2401 OLD MONTGOMERY HIGHWAY,SELMA,ALABAMA,36703,DALLAS,1047.0,Metals,203716,216047,220427,213603,187014
85,1.10E+11,GEORGIA-PACIFIC BREWTON LLC,82.0,945.0,31.077122999999997,-87.111402,32224 HWY 31 S,BREWTON,ALABAMA,36426,ESCAMBIA,1053.0,"Pulp and Paper,Waste",555811,478434,506982,466581,210445
86,1.10E+11,BIG ESCAMBIA CREEK GAS PLANT,921.0,1064.0,31.064428000000003,-87.36686800000001,3888 SARDIS CHURCH RD,ATMORE,ALABAMA,36502,ESCAMBIA,1053.0,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",436509,457957,404047,441810,97934
90,1.10E+11,GADSDEN STEAM PLANT,1231.0,1131.0,34.010515000000005,-85.97009200000001,1000 GOODYEAR AVE,GADSDEN,ALABAMA,35903,ETOWAH,1055.0,Power Plants,384923,193075,199001,330578,334629
91,1.10E+11,GREENE COUNTY STEAM PLANT,213.0,268.0,32.601662,-87.78211999999999,801 STEAM PLANT ROAD,FORKLAND,ALABAMA,36740,GREENE,1063.0,Power Plants,2712021,2489979,2237663,2520086,2635032
93,1.10E+11,US TVA WIDOWS CREEK FOSSIL PLANT,105.0,167.0,34.883314,-85.755278,2800 STEAM PLANT RD,STEVENSON,ALABAMA,35772,JACKSON,1071.0,Power Plants,4097832,4041136,4558278,4779405,5818040
94,1.10E+11,"ROCKTENN CP, LLC-STEVENSON MILL",343.0,1976.0,34.864542,-85.787834,1611 COUNTY RD 85,STEVENSON,ALABAMA,35772,JACKSON,1071.0,"Pulp and Paper,Waste",144387,167988,189782,198350,126779
95,1.10E+11,TENNESSEE ALLOYS CO,1815.0,2019.0,34.94458,-85.69986999999999,101 GARNER RD,BRIDGEPORT,ALABAMA,35740,JACKSON,1071.0,Metals,139747,158932,138358,128418,147525
96,1.10E+11,US GYPSUM BRIDGEPORT,9894.0,4570.0,34.9627,-85.72787,100 DJ NOOTENS DR,BRIDGEPORT,ALABAMA,35740,JACKSON,1071.0,Minerals,40148,36472,29882,28440,29301
98,1.10E+11,MILLER STEAM PLANT,406.0,2.0,33.6331,-87.0597,4250 PORTER RD,QUINTON,ALABAMA,35130,JEFFERSON,1073.0,Power Plants,19902660,21870696,18556960,22067165,20757858
99,1.10E+11,LEHIGH READY MIX CEMENT PLANT,1185.0,967.0,33.5401,-86.5435,8401 SECOND AVE,LEEDS,ALABAMA,35094,JEFFERSON,1073.0,Minerals,535401,608628,532452,728230,535424
100,1.10E+11,DRUMMOND CO INC ABC COKE DIV,1641.0,1603.0,33.580769000000004,-86.781281,ONE RAILROAD AVE,TARRANT CITY,ALABAMA,35217,JEFFERSON,1073.0,Metals,201541,199654,214859,223890,208846
101,1.10E+11,US Steel - Fairfield Works and Tubular Operations,1651.0,206.0,33.48063,-86.936717,5700 VALLEY RD,FAIRFIELD,ALABAMA,35064,JEFFERSON,1073.0,"Metals,Waste",3381845,3019649,3667160,3136781,3249192
102,1.10E+11,US PIPE & FOUNDRY CO LLC,1900.0,1978.0,33.41702,-86.97085,2023 SAINT LOUIS AVENUE,BESSEMER,ALABAMA,35020,JEFFERSON,1073.0,Metals,143909,133359,146878,156557,118757
103,1.10E+11,AMERICAN CAST IRON PIPE CO.,2179.0,2039.0,33.54698,-86.83465,2930 N 16TH ST,BIRMINGHAM,ALABAMA,35207,JEFFERSON,1073.0,Metals,137032,131035,115850,126332,140314
