,Agency,Mode,TOS,Active,Reporter Type,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Average Trip Length FY,Fares FY,Operating Expenses FY,Average Cost per Trip FY,Average Fares per Trip FY
0,King County Department of Transportation - Metro Transit Division,DR,PT,Active,Full Reporter,Seattle,WA,14,"Seattle, WA",1010.0,3059393.0,2134.0,2149970.0,2017.0,12.0,2017.0,8550338.0,854155.0,10.0103,863494.0,63879758.0,74.7871,1.0109
1,King County Department of Transportation - Metro Transit Division,DT,PT,Active,Full Reporter,Seattle,WA,14,"Seattle, WA",1010.0,3059393.0,2134.0,2149970.0,2017.0,12.0,2017.0,1626743.0,103861.0,15.6627,412730.0,1220979.0,11.7559,3.9739
2,King County Department of Transportation,FB,DO,Active,Full Reporter,Seattle,WA,14,"Seattle, WA",1010.0,3059393.0,2134.0,2149970.0,2017.0,12.0,2017.0,2992092.0,599954.0,4.9872,2620614.0,5909413.0,9.8498,4.368
4,King County Department of Transportation - Metro Transit Division,MB,DO,Active,Full Reporter,Seattle,WA,14,"Seattle, WA",1010.0,3059393.0,2134.0,2149970.0,2017.0,12.0,2017.0,480141778.0,101129569.0,4.7478,139520130.0,517526931.0,5.1175,1.3796
5,King County Department of Transportation - Metro Transit Division,MB,PT,Active,Full Reporter,Seattle,WA,14,"Seattle, WA",1010.0,3059393.0,2134.0,2149970.0,2017.0,12.0,2017.0,3386876.0,883578.0,3.8331,1109846.0,8071455.0,9.135,1.2561
6,King County Department of Transportation - Metro Transit Division,SR,DO,Active,Full Reporter,Seattle,WA,14,"Seattle, WA",1010.0,3059393.0,2134.0,2149970.0,2017.0,12.0,2017.0,1556551.0,1417507.0,1.0981,1368135.0,9738639.0,6.8703,0.9652
7,King County Department of Transportation - Metro Transit Division,TB,DO,Active,Full Reporter,Seattle,WA,14,"Seattle, WA",1010.0,3059393.0,2134.0,2149970.0,2017.0,12.0,2017.0,36445193.0,19339147.0,1.8845,22808461.0,70853735.0,3.6637,1.1794
8,King County Department of Transportation - Metro Transit Division,VP,DO,Active,Full Reporter,Seattle,WA,14,"Seattle, WA",1010.0,3059393.0,2134.0,2149970.0,2017.0,12.0,2017.0,65856719.0,3626422.0,18.1602,7622086.0,9713077.0,2.6784,2.1018
9,Spokane Transit Authority,DR,DO,Active,Full Reporter,Spokane,WA,96,"Spokane, WA",164.0,387847.0,248.0,423267.0,2017.0,12.0,2017.0,1972648.0,239886.0,8.2233,510050.0,9298334.0,38.7615,2.1262
10,Spokane Transit Authority,DR,PT,Active,Full Reporter,Spokane,WA,96,"Spokane, WA",164.0,387847.0,248.0,423267.0,2017.0,12.0,2017.0,2313048.0,236879.0,9.7647,200174.0,4374072.0,18.4654,0.845
11,Spokane Transit Authority,MB,DO,Active,Full Reporter,Spokane,WA,96,"Spokane, WA",164.0,387847.0,248.0,423267.0,2017.0,12.0,2017.0,45820834.0,10264971.0,4.4638,8314345.0,49460108.0,4.8183,0.81
12,Spokane Transit Authority,VP,DO,Active,Full Reporter,Spokane,WA,96,"Spokane, WA",164.0,387847.0,248.0,423267.0,2017.0,12.0,2017.0,4611749.0,178457.0,25.8424,528460.0,611768.0,3.4281,2.9613
13,Pierce County Transportation Benefit Area Authority,DR,DO,Active,Full Reporter,Tacoma,WA,14,"Seattle, WA",1010.0,3059393.0,292.0,555578.0,2017.0,12.0,2017.0,738445.0,100374.0,7.3569,125212.0,7092689.0,70.6626,1.2475
