,index,State,Automobiles,Buses,Trucks,Automobiles Per Capita,Motorcicles,Year
0,0,Alabama,1842094.0,8451.0,25499,3552835.0,37445.429653593645,1995
1,1,Alaska,304543.0,2008.0,8049,542186.0,12909.501173757531,1995
2,2,Arizona,1881072.0,4429.0,17564,2873325.0,68379.4421492482,1995
3,3,Arkansas,807233.0,5661.0,10901,1613199.0,17195.321223108913,1995
4,4,California,14849807.0,42899.0,240141,22431749.0,518927.464625943,1995
5,5,Colorado,1704804.0,5609.0,24627,2811790.0,88058.45243281548,1995
6,6,Connecticut  6/,2079287.0,8749.0,24876,2622256.0,48690.63154945457,1995
7,7,Delaware,404771.0,2134.0,2420,591908.0,9141.554844763712,1995
8,8,Dist. of Col.,206111.0,2717.0,6186,242695.0,1193.3641115296903,1995
9,9,Florida,7594878.0,40264.0,133875,10369395.0,184526.52968147417,1995
10,10,Georgia,4225580.0,15551.0,55490,6120197.0,71392.58373654782,1995
11,11,Hawaii,533127.0,4383.0,6687,802126.0,12901.444272274954,1995
12,12,Idaho,586566.0,3361.0,19973,1043074.0,33362.49950097184,1995
13,13,Illinois,6611668.0,16428.0,17513,8973009.0,184101.55393729807,1995
14,14,Indiana,3370297.0,24290.0,37138,5071962.0,95936.57714426419,1995
15,15,Iowa,1828736.0,9402.0,26260,2814018.0,111342.63939440432,1995
16,16,Kansas,1085649.0,3779.0,17485,2084508.0,42825.420367687875,1995
17,17,Kentucky,1629780.0,11627.0,6755,2631396.0,32992.416725061456,1995
18,18,Louisiana,1958314.0,20345.0,20534,3285581.0,36318.44378898537,1995
19,19,Maine,624071.0,2776.0,10750,966845.0,25886.498119837408,1995
20,20,Maryland,2705080.0,11225.0,21697,3654199.0,38698.53389035225,1995
21,21,Massachusetts,3507025.0,10926.0,33249,4501969.0,74237.57486626437,1995
22,22,Michigan,5314815.0,24249.0,72596,7674090.0,126590.55184304109,1995
23,23,Minnesota,2552004.0,15652.0,25666,3881829.0,117592.55115924598,1995
24,24,Mississippi,1408232.0,9684.0,17280,2143553.0,29636.518305173096,1995
25,25,Missouri,2746607.0,12256.0,16273,4255023.0,54900.514513790964,1995
26,26,Montana,538450.0,2994.0,16631,968468.0,20824.610981970192,1995
27,27,Nebraska,848757.0,5795.0,15619,1466635.0,18732.51223862509,1995
28,28,Nevada,593154.0,1744.0,13838,1047226.0,21215.381344976955,1995
29,29,New Hampshire  6/,731463.0,1763.0,10007,1122028.0,49445.633868145786,1995
30,30,New Jersey  6/,4689104.0,19614.0,93452,5906316.0,87918.58362052626,1995
31,31,New Mexico,832075.0,3435.0,20205,1483727.0,30946.486086100576,1995
32,32,New York  6/,7917332.0,45776.0,99798,10274036.0,168248.4326603967,1995
33,33,North Carolina,3685161.0,35323.0,55991,5682255.0,66748.50758845765,1995
34,34,North Dakota,371658.0,2176.0,8906,694675.0,16864.573401812067,1995
35,35,Ohio,7193203.0,32815.0,65477,9810270.0,217917.64169330074,1995
36,36,Oklahoma,1629491.0,14786.0,41765,2856079.0,55146.493908356715,1995
37,37,Oregon,1629074.0,11542.0,27080,2784972.0,60489.5114505737,1995
38,38,Pennsylvania  6/,6013649.0,33874.0,58226,8480526.0,170322.4946890458,1995
39,39,Rhode Island  6/,545213.0,1691.0,5515,699210.0,16893.54762102013,1995
40,40,South Carolina,1865265.0,14988.0,23008,2833331.0,34355.50517506528,1995
41,41,South Dakota,379588.0,2563.0,12176,708613.0,25155.51463580574,1995
