,jan,id,lat,long,name,year,country
700761,165,USC00010148,34.2333,-86.1667,ALBERTVILLE_2_SE,1961,US
700791,547,USC00010148,34.2333,-86.1667,ALBERTVILLE_2_SE,1991,US
700811,434,USC00010160,32.9453,-85.9481,ALEXANDER_CITY,1961,US
700841,751,USC00010160,32.9453,-85.9481,ALEXANDER_CITY,1991,US
700861,360,USC00010163,32.9833,-85.8667,ALEXANDER_CITY_6_NE,1961,US
700891,638,USC00010163,32.9833,-85.8667,ALEXANDER_CITY_6_NE,1991,US
700911,394,USC00010178,33.1272,-88.155,ALICEVILLE,1961,US
700941,717,USC00010178,33.1272,-88.155,ALICEVILLE,1991,US
700961,463,USC00010252,31.3072,-86.5225,ANDALUSIA_3_W,1961,US
700991,936,USC00010252,31.3072,-86.5225,ANDALUSIA_3_W,1991,US
701011,167,USC00010260,34.9092,-87.2747,ANDERSON,1961,US
701041,512,USC00010260,34.9092,-87.2747,ANDERSON,1991,US
701061,345,USC00010267,33.6667,-85.8333,ANNISTON,1961,US
701091,793,USC00010267,33.6667,-85.8333,ANNISTON,1991,US
701111,335,USC00010369,33.2942,-85.7789,ASHLAND_3_ENE,1961,US
701141,629,USC00010369,33.2942,-85.7789,ASHLAND_3_ENE,1991,US
701161,368,USC00010377,33.85,-86.3333,ASHVILLE_4_W,1961,US
701191,743,USC00010377,33.85,-86.3333,ASHVILLE_4_W,1991,US
701211,283,USC00010390,34.7753,-86.9508,ATHENS,1961,US
701241,641,USC00010390,34.7753,-86.9508,ATHENS,1991,US
701261,139,USC00010395,34.8,-86.9833,ATHENS_2,1961,US
701291,418,USC00010395,34.8,-86.9833,ATHENS_2,1991,US
701311,719,USC00010402,31.1819,-87.4389,ATMORE,1961,US
701341,1068,USC00010402,31.1819,-87.4389,ATMORE,1991,US
701361,763,USC00010407,31.0167,-87.5167,ATMORE,1961,US
701391,1087,USC00010407,31.0167,-87.5167,ATMORE,1991,US
701411,479,USC00010422,32.6,-85.5,AUBURN,1961,US
701441,849,USC00010422,32.6,-85.5,AUBURN,1991,US
701461,454,USC00010425,32.5992,-85.4653,AUBURN_NO2,1961,US
701491,783,USC00010425,32.5992,-85.4653,AUBURN_NO2,1991,US
701511,551,USC00010430,32.6,-85.5,AUBURN_AGRONOMY_FARM,1961,US
701541,842,USC00010430,32.6,-85.5,AUBURN_AGRONOMY_FARM,1991,US
701561,384,USC00010505,33.4528,-87.3572,BANKHEAD_LOCKDAM,1961,US
701591,720,USC00010505,33.4528,-87.3572,BANKHEAD_LOCKDAM,1991,US
701611,719,USC00010583,30.8839,-87.7853,BAY_MINETTE,1961,US
701641,1160,USC00010583,30.8839,-87.7853,BAY_MINETTE,1991,US
701661,498,USC00010616,31.7222,-87.2119,BEATRICE,1961,US
701691,876,USC00010616,31.7222,-87.2119,BEATRICE,1991,US
701711,200,USC00010655,34.6892,-86.8819,BELLE_MINA_2_N,1961,US
701741,502,USC00010655,34.6892,-86.8819,BELLE_MINA_2_N,1991,US
701761,324,USC00010757,33.3667,-87.0167,BESSEMER_3_SSW,1961,US
701791,671,USC00010757,33.3667,-87.0167,BESSEMER_3_SSW,1991,US
701811,370,USC00010764,33.3953,-87.0078,BESSEMER_3_WSW,1961,US
701841,733,USC00010764,33.3953,-87.0078,BESSEMER_3_WSW,1991,US
701861,461,USC00010836,33.5333,-86.8333,BIRMINGHAM,1961,US
701891,824,USC00010836,33.5333,-86.8333,BIRMINGHAM,1991,US
701911,558,USC00011069,31.5833,-86.2667,BRANTLEY,1961,US
701941,926,USC00011069,31.5833,-86.2667,BRANTLEY,1991,US
701961,539,USC00011080,31.1414,-87.0486,BREWTON_3_ENE,1961,US
701991,957,USC00011080,31.1414,-87.0486,BREWTON_3_ENE,1991,US
702011,650,USC00011084,31.0583,-87.055,BREWTON_3_SSE,1961,US
702041,1123,USC00011084,31.0583,-87.055,BREWTON_3_SSE,1991,US
702061,197,USC00011099,34.9786,-85.8008,BRIDGEPORT_5_NW,1961,US
702091,566,USC00011099,34.9786,-85.8008,BRIDGEPORT_5_NW,1991,US
702111,304,USC00011288,33.0944,-86.7456,CALERA,1961,US
702141,637,USC00011288,33.0944,-86.7456,CALERA,1991,US
702161,589,USC00011300,32.0333,-87.3167,CAMDEN_3_NNW,1961,US
702191,971,USC00011300,32.0333,-87.3167,CAMDEN_3_NNW,1991,US
702211,637,USC00011301,32.0289,-87.3167,CAMDEN_3_NW,1961,US
702241,859,USC00011301,32.0289,-87.3167,CAMDEN_3_NW,1991,US
702261,329,USC00011324,32.8236,-85.6561,CAMP_HILL_2NW,1961,US
702291,670,USC00011324,32.8236,-85.6561,CAMP_HILL_2NW,1991,US
702311,208,USC00011490,34.15,-85.6847,CENTRE,1961,US
702341,533,USC00011490,34.15,-85.6847,CENTRE,1991,US
702361,223,USC00011512,34.1167,-85.7333,CENTRE_4_SW,1961,US
702391,540,USC00011512,34.1167,-85.7333,CENTRE_4_SW,1991,US
702411,380,USC00011520,32.95,-87.1333,CENTREVILLE,1961,US
